subject,studentnum,fac_reservation,e_attend,reservation_stu,female,father_college,mother_college,age,miss_age,department_id,fac_associate_professor,fac_professor,fac_yearsinhighed,fac_highest_degree_phd,fac_highest_degree_phd_in_prog,fac_degree_college_elite,fac_female
Physics,1,0,2.5,0,1,0,1,0,1,IR004EE,0,0,58,2,0,0,6
Hot,2,5.7894736842105265,5,1,0,0,0,0,1,IR045EE,2.1052631578947367,1.0526315789473684,138.42105263157896,2.6315789473684212,1.0526315789473684,4.736842105263158,5.263157894736842
Math,3,5,1,1,1,0,0,0,1,IR042CS,0,0,135,0,10,0,5
Physics,3,0,1,1,1,0,0,0,1,IR042CS,0,5,155,5,0,0,0
Hot,4,6.25,5,1,0,0,0,0,1,IR050CS,0,0,81.33333333333333,0.625,1.875,3.75,3.75
Hot,5,5.7142857142857135,5,0,0,1,1,0,1,IR033EE,1.4285714285714288,0,47.142857142857146,0,0,1.4285714285714288,0
Math,6,10,6,0,1,1,1,0,1,IR050CS,0,0,20,0,0,0,10
Hot,7,0,13,0,0,1,0,0,1,IR012EE,2.8571428571428568,0,161.42857142857142,4.285714285714286,1.4285714285714288,2.8571428571428568,0
Hot,8,1.875,2,0,0,1,1,0,1,IR012CS,0,0.625,91.25,1.25,2.5,0,5
Hot,9,6.363636363636365,10,1,0,1,0,0,1,IR033CS,4.545454545454545,0.45454545454545464,83.63636363636363,1.3636363636363642,2.727272727272727,2.7272727272727275,4.545454545454545
Hot,10,5.625,6,1,0,0,1,0,1,IR050CS,0,0,81.33333333333333,0.625,1.875,1.875,4.375
Physics,11,0,4.5,0,0,1,1,0,1,IR004EE,0,0,58,2,0,0,6
Math,12,0,1,0,0,1,1,0,1,IR012CS,0,10,190,10,0,0,0
Physics,12,0,1,0,0,1,1,0,1,IR012CS,0,0,65,0,2.5,0,7.5
Math,13,0,1,0,0,1,1,0,1,IR010CS,3.333333333333334,0,113.33333333333334,3.333333333333334,0,10,3.333333333333334
Physics,13,3.333333333333334,1,0,0,1,1,0,1,IR010CS,3.333333333333334,0,93.33333333333334,3.333333333333334,0,0,3.333333333333334
Hot,14,1.25,5,1,1,1,1,0,1,IR042CS,2.5,2.5,136.25,2.5,3.75,1.25,1.25
Hot,15,8.75,6,1,1,0,0,0,1,IR033EE,5,0,80,0,0,0,1.25
Math,16,0,1,0,0,0,0,0,1,IR012EE,0,0,100,10,0,0,0
Physics,16,0,5.5,0,0,0,0,0,1,IR012EE,2.5,0,172.5,2.5,2.5,2.5,0
Math,17,0,2,0,1,1,1,0,1,IR036EE,0,0,70,0,0,0,0
Physics,17,6,2,0,1,1,1,0,1,IR036EE,0,2,74,1.6666666666666663,1.666666666666667,4,2
Math,18,7.5,14,0,1,1,1,0,1,IR033CS,7.5,0,107.5,0,7.5,0,2.5
Physics,18,6,15,0,1,1,1,0,1,IR033CS,4,0,98,0,4,0,2
Math,19,0,4.5,0,0,1,1,0,1,IR004CS,0,0,50,0,0,0,0
Math,20,10,8.5,1,0,1,1,0,1,IR050CS,0,0,60,0,0,0,10
Physics,20,7.142857142857143,7.5,1,0,1,1,0,1,IR050CS,0,0,87.14285714285714,1.4285714285714288,0,2.8571428571428577,4.285714285714286
Physics,21,7.142857142857143,8,1,1,0,1,0,1,IR033EE,2.8571428571428568,0,55.71428571428571,0,0,1.4285714285714288,0
Hot,22,5.833333333333334,4.5,0,1,1,1,0,1,IR036CS,2.5,0.8333333333333333,103.33333333333334,2.916666666666666,2.5,2.916666666666666,3.75
Hot,23,4.285714285714286,6,1,1,0,0,0,1,IR036EE,0,1.4285714285714288,70,1.25,1.25,2.8571428571428568,1.4285714285714288
Hot,24,6.25,5,1,0,1,0,0,1,IR050EE,0,0.625,82.5,1.25,0,3.75,5
Hot,25,2.592592592592593,7,0,1,1,1,0,1,IR006CS,1.851851851851852,2.2222222222222223,103.7037037037037,4.0740740740740735,0,1.8518518518518523,1.111111111111111
Math,26,0,5,1,0,0,0,0,1,IR012EE,0,0,100,10,0,0,0
Physics,26,0,7,1,0,0,0,0,1,IR012EE,2.5,0,172.5,2.5,2.5,2.5,0
Hot,27,3.75,6.5,1,0,0,0,0,1,IR033EE,0,0,41.25,0,0,1.25,1.25
Hot,28,5.7142857142857135,8,1,1,0,0,0,1,IR036EE,0,1.4285714285714288,80,1.25,1.25,2.8571428571428568,1.4285714285714288
Physics,29,0,1.5,0,0,1,1,0,1,IR004EE,0,0,58,2,0,0,6
Math,30,5,15,1,1,0,0,0,1,IR036EE,0,0,102.5,0,5,5,5
Physics,30,2.8571428571428568,14.5,1,1,0,0,0,1,IR036EE,1.4285714285714288,2.8571428571428568,95.71428571428572,3.75,1.25,2.8571428571428568,2.8571428571428568
Math,31,0,8,1,1,0,0,0,1,IR036EE,0,0,70,0,0,0,0
Physics,31,8,7,1,1,0,0,0,1,IR036EE,0,0,72,0,1.666666666666667,0,2
Math,32,6.666666666666666,9,1,0,0,0,0,1,IR042EE,0,0,56.66666666666667,0,0,0,3.333333333333334
Physics,32,5,6.5,1,0,0,0,0,1,IR042EE,1.25,2.5,108.75,2.5,0,0,0
Hot,33,5.625,7.5,1,1,1,0,0,1,IR050CS,0,0,82,0.625,1.875,2.5,4.375
Hot,34,0,8,1,1,0,0,0,1,IR012EE,2.8571428571428568,0,161.42857142857142,4.285714285714286,1.4285714285714288,2.8571428571428568,0
Math,35,5,8.5,1,1,0,0,0,1,IR036CS,0,5,100,5,0,5,0
Physics,35,10,6,1,1,0,0,0,1,IR036CS,0,0,50,0,0,0,0
Math,36,10,0.5,1,0,0,0,0,1,IR050CS,0,0,60,0,0,0,10
